,SalePrice,SqFt1stFloor,SqFtHalfFloor,SqFt2ndFloor,SqFtUpperFloor,SqFtTotLiving,SqFtTotBasement,SqFtFinBasement,SqFtGarageBasement,SqFtGarageAttached,DaylightBasement,SqFtOpenPorch,SqFtEnclosedPorch,SqFtDeck,BrickStone,Bedrooms,BathHalfCount,Bath3qtrCount,BathFullCount,YrBuilt,Longitude,Latitude,cluster
3802,1225000,1610,0,0,0,2920,1310,1310,0,420,1,0,0,900,0,5,0,0,3,1973,-122.2130915,47.5486345,2
3803,365000,1750,0,0,0,1640,0,0,0,510,0,90,0,550,0,3,0,0,1,1967,-122.1760453,47.4535397,3
3804,401000,1370,0,0,0,2100,1350,730,620,0,0,0,0,140,0,3,0,1,1,1959,-122.2602893,47.7387002,2
3805,659950,1025,0,1462,0,2487,0,0,0,400,0,45,0,0,0,4,0,1,2,2019,-122.1573894,47.4361968,4
3806,1100000,1750,0,0,0,2940,1730,1190,440,0,1,70,0,500,0,4,1,1,2,1969,-122.211036,47.5443239,2
3807,800000,1390,0,700,0,2540,740,450,290,190,1,0,0,0,0,5,0,1,1,1975,-122.2261325,47.7176058,2
3808,569700,1610,0,0,0,2460,1480,850,630,0,1,90,0,110,0,3,1,1,1,1977,-122.1269221,47.693752,2
3809,800000,1880,0,0,0,1880,0,0,0,480,0,0,0,760,0,3,0,2,1,1972,-122.1450609,47.6663757,3
3810,620000,1100,420,0,0,1760,1100,240,300,0,0,0,0,0,0,4,1,0,1,1947,-122.3591905,47.7135243,3
3811,374000,1310,0,0,0,2030,1220,720,480,0,1,0,0,240,0,3,1,1,1,1965,-122.3222257,47.4220251,2
3812,850000,1630,0,0,0,3140,1630,1510,0,460,1,450,0,280,0,5,0,2,1,1968,-122.0957938,47.6294152,2
3813,635000,1580,0,0,0,1580,530,0,530,0,1,100,0,0,0,3,1,2,1,1963,-122.1971582,47.7690614,2
3814,699950,490,0,350,0,1310,470,470,0,0,1,20,0,500,0,3,1,2,0,2017,-122.3666649,47.664578,1
3815,363000,1210,0,0,0,1210,0,0,0,440,0,183,0,0,0,3,0,1,1,1968,-122.3179657,47.3711077,3
3816,615000,1010,0,0,0,1720,1010,710,0,0,1,0,0,0,0,5,0,1,1,1956,-122.1288671,47.601639,2
3817,245000,1200,0,0,0,1200,0,0,0,310,0,0,0,0,0,4,0,0,1,1967,-122.1114054,47.3675596,3
